CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,ClusterLabel
12479,11,1,527.2,5,1,3,9,Potential Loyalists,3,High Value - Active
12480,28,4,3281.63,4,4,5,13,Champions,3,High Value - Active
12481,23,10,5596.32,4,5,5,14,Champions,3,High Value - Active
12483,17,8,2484.98,4,5,5,14,Champions,3,High Value - Active
12484,33,6,4541.72,4,4,5,13,Champions,3,High Value - Active
12488,10,3,1298.66,5,3,4,12,Loyal Customers,3,High Value - Active
12489,336,1,334.93,1,1,2,4,Lost Customers,2,Low Value - Inactive
12490,5,10,5417.93,5,5,5,15,Champions,3,High Value - Active
12491,39,1,460.40000000000003,3,1,2,6,At Risk,3,High Value - Active
12492,63,2,263.21000000000004,3,2,2,7,Potential Loyalists,3,High Value - Active
12493,166,2,433.74,2,2,2,6,At Risk,0,Low Value - Inactive
12494,16,7,1246.1000000000001,4,5,4,13,Champions,3,High Value - Active
12497,82,1,1043.1,2,1,4,7,Potential Loyalists,3,High Value - Active
12498,21,3,403.70000000000005,4,3,2,9,Potential Loyalists,3,High Value - Active
12500,23,11,4257.82,4,5,5,14,Champions,3,High Value - Active
12501,337,1,2169.39,1,1,5,7,Potential Loyalists,2,Low Value - Inactive
12502,96,5,3723.87,2,4,5,11,Loyal Customers,0,Low Value - Inactive
12504,18,2,482.04999999999995,4,2,2,8,Potential Loyalists,3,High Value - Active
12506,233,1,73.5,1,1,1,3,Lost Customers,2,Low Value - Inactive
12507,134,3,1304.81,2,3,4,9,Potential Loyalists,0,Low Value - Inactive
12508,26,2,398.27,4,2,2,8,Potential Loyalists,3,High Value - Active
12509,284,1,176.5,1,1,1,3,Lost Customers,2,Low Value - Inactive
12510,143,2,982.5699999999999,2,2,4,8,Potential Loyalists,0,Low Value - Inactive
12512,66,2,138.03,3,2,1,6,At Risk,3,High Value - Active
12513,113,1,612.29,2,1,3,6,At Risk,0,Low Value - Inactive
12514,267,1,1017.68,1,1,4,6,At Risk,2,Low Value - Inactive
12515,353,1,383.7,1,1,2,4,Lost Customers,2,Low Value - Inactive
12516,78,2,1312.06,2,2,4,8,Potential Loyalists,3,High Value - Active
12517,28,5,2502.84,4,4,5,13,Champions,3,High Value - Active
12518,1,5,2056.89,5,4,4,13,Champions,3,High Value - Active
12519,64,1,340.84,3,1,2,6,At Risk,3,High Value - Active
12520,79,5,2634.26,2,4,5,11,Loyal Customers,3,High Value - Active
12521,143,1,599.68,2,1,3,6,At Risk,0,Low Value - Inactive
12522,39,2,192.72,3,2,1,6,At Risk,3,High Value - Active
12523,19,11,1789.77,4,5,4,13,Champions,3,High Value - Active
12524,9,8,4485.72,5,5,5,15,Champions,3,High Value - Active
12526,1,3,1316.66,5,3,4,12,Loyal Customers,3,High Value - Active
12527,82,3,348.71000000000004,2,3,2,7,Potential Loyalists,3,High Value - Active
12528,9,6,1933.48,5,4,4,13,Champions,3,High Value - Active
12530,60,4,1662.28,3,4,4,11,Loyal Customers,3,High Value - Active
12531,15,1,125.22,4,1,1,6,At Risk,3,High Value - Active
12532,30,1,349.83000000000004,4,1,2,7,Potential Loyalists,3,High Value - Active
12534,131,1,1089.18,2,1,4,7,Potential Loyalists,0,Low Value - Inactive
12535,92,2,716.35,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12536,43,3,12601.830000000002,3,3,5,11,Loyal Customers,3,High Value - Active
12538,29,1,363.95,4,1,2,7,Potential Loyalists,3,High Value - Active
12539,22,4,5568.35,4,4,5,13,Champions,3,High Value - Active
12540,20,17,13400.24,4,5,5,14,Champions,3,High Value - Active
12541,30,3,981.18,4,3,4,11,Loyal Customers,3,High Value - Active
12544,36,1,372.7,3,1,2,6,At Risk,3,High Value - Active
12545,75,2,1000.39,2,2,4,8,Potential Loyalists,3,High Value - Active
12546,47,2,1161.5,3,2,4,9,Potential Loyalists,3,High Value - Active
12547,198,2,207.79999999999998,1,2,1,4,Lost Customers,0,Low Value - Inactive
12548,166,1,95.19999999999999,2,1,1,4,Lost Customers,0,Low Value - Inactive
12550,79,1,964.83,2,1,4,7,Potential Loyalists,3,High Value - Active
12551,358,1,168.0,1,1,1,3,Lost Customers,2,Low Value - Inactive
12552,39,2,437.82,3,2,2,7,Potential Loyalists,3,High Value - Active
12553,8,10,3692.28,5,5,5,15,Champions,3,High Value - Active
12556,50,2,603.71,3,2,3,8,Potential Loyalists,3,High Value - Active
12557,16,5,11990.960000000001,4,4,5,13,Champions,3,High Value - Active
12558,8,1,269.96,5,1,2,8,Potential Loyalists,3,High Value - Active
12559,311,2,561.71,1,2,3,6,At Risk,2,Low Value - Inactive
12560,5,3,2134.01,5,3,5,13,Champions,3,High Value - Active
12561,303,1,238.85,1,1,1,3,Lost Customers,2,Low Value - Inactive
12562,8,7,3781.7400000000002,5,5,5,15,Champions,3,High Value - Active
12564,261,1,456.9,1,1,2,4,Lost Customers,2,Low Value - Inactive
12565,289,1,145.92,1,1,1,3,Lost Customers,2,Low Value - Inactive
12566,86,1,351.65,2,1,2,5,At Risk,3,High Value - Active
12567,23,10,9401.28,4,5,5,14,Champions,3,High Value - Active
12569,2,32,4124.69,5,5,5,15,Champions,3,High Value - Active
12571,40,2,519.61,3,2,3,8,Potential Loyalists,3,High Value - Active
12572,9,2,1020.42,5,2,4,11,Loyal Customers,3,High Value - Active
12573,227,1,160.54000000000002,1,1,1,3,Lost Customers,2,Low Value - Inactive
12574,316,1,218.45,1,1,1,3,Lost Customers,2,Low Value - Inactive
12576,36,5,1315.83,3,4,4,11,Loyal Customers,3,High Value - Active
12577,35,3,657.8,3,3,3,9,Potential Loyalists,3,High Value - Active
12578,21,2,2794.51,4,2,5,11,Loyal Customers,3,High Value - Active
12579,78,1,440.42,2,1,2,5,At Risk,3,High Value - Active
12580,247,1,415.7,1,1,2,4,Lost Customers,2,Low Value - Inactive
12581,40,1,197.71,3,1,1,5,At Risk,3,High Value - Active
12582,239,2,511.36,1,2,3,6,At Risk,2,Low Value - Inactive
12583,3,15,7281.38,5,5,5,15,Champions,3,High Value - Active
12584,4,9,2338.15,5,5,5,15,Champions,3,High Value - Active
12585,234,2,2040.1,1,2,4,7,Potential Loyalists,2,Low Value - Inactive
12586,17,1,196.94000000000003,4,1,1,6,At Risk,3,High Value - Active
12587,8,1,144.0,5,1,1,7,Potential Loyalists,3,High Value - Active
12588,39,1,214.89999999999998,3,1,1,5,At Risk,3,High Value - Active
12589,29,2,646.68,4,2,3,9,Potential Loyalists,3,High Value - Active
12590,211,2,9864.26,1,2,5,8,Potential Loyalists,0,Low Value - Inactive
12591,317,1,452.84999999999997,1,1,2,4,Lost Customers,2,Low Value - Inactive
12592,92,2,437.6,2,2,2,6,At Risk,0,Low Value - Inactive
12593,109,3,418.09999999999997,2,3,2,7,Potential Loyalists,0,Low Value - Inactive
12594,38,10,3338.2200000000003,3,5,5,13,Champions,3,High Value - Active
12596,51,2,618.27,3,2,3,8,Potential Loyalists,3,High Value - Active
12597,19,4,3811.22,4,4,5,13,Champions,3,High Value - Active
12598,10,8,3023.08,5,5,5,15,Champions,3,High Value - Active
12599,29,7,1032.58,4,5,4,13,Champions,3,High Value - Active
12600,29,10,2599.04,4,5,5,14,Champions,3,High Value - Active
12601,190,5,577.0600000000001,1,4,3,8,Potential Loyalists,0,Low Value - Inactive
12602,59,1,153.12,3,1,1,5,At Risk,3,High Value - Active
12603,22,1,739.1999999999999,4,1,3,8,Potential Loyalists,3,High Value - Active
12604,79,2,254.18,2,2,2,6,At Risk,3,High Value - Active
12607,60,1,1579.51,3,1,4,8,Potential Loyalists,3,High Value - Active
12609,78,3,1126.85,2,3,4,9,Potential Loyalists,3,High Value - Active
12610,23,5,2099.54,4,4,5,13,Champions,3,High Value - Active
12611,52,1,1193.32,3,1,4,8,Potential Loyalists,3,High Value - Active
12612,74,1,704.0400000000001,2,1,3,6,At Risk,3,High Value - Active
12613,57,5,3344.38,3,4,5,12,Loyal Customers,3,High Value - Active
12614,278,1,315.6,1,1,2,4,Lost Customers,2,Low Value - Inactive
12615,2,4,2291.19,5,4,5,14,Champions,3,High Value - Active
12616,95,2,713.3,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12617,29,1,355.53,4,1,2,7,Potential Loyalists,3,High Value - Active
12618,22,1,177.31,4,1,1,6,At Risk,3,High Value - Active
12619,16,9,3641.24,4,5,5,14,Champions,3,High Value - Active
12620,15,3,1339.41,4,3,4,11,Loyal Customers,3,High Value - Active
12621,2,20,13689.67,5,5,5,15,Champions,3,High Value - Active
12622,232,1,180.1,1,1,1,3,Lost Customers,2,Low Value - Inactive
12623,276,1,305.1,1,1,2,4,Lost Customers,2,Low Value - Inactive
12624,106,2,641.13,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12625,212,2,2683.82,1,2,5,8,Potential Loyalists,0,Low Value - Inactive
12626,23,9,6620.48,4,5,5,14,Champions,3,High Value - Active
12627,11,7,4478.53,5,5,5,15,Champions,3,High Value - Active
12628,4,3,786.46,5,3,3,11,Loyal Customers,3,High Value - Active
12630,10,2,1270.88,5,2,4,11,Loyal Customers,3,High Value - Active
12631,57,1,640.5,3,1,3,7,Potential Loyalists,3,High Value - Active
12633,59,4,2163.98,3,4,5,12,Loyal Customers,3,High Value - Active
12635,90,2,1689.18,2,2,4,8,Potential Loyalists,3,High Value - Active
12637,67,8,6021.9,3,5,5,13,Champions,3,High Value - Active
12638,33,1,671.69,4,1,3,8,Potential Loyalists,3,High Value - Active
12639,239,1,486.1,1,1,2,4,Lost Customers,2,Low Value - Inactive
12640,24,3,1174.58,4,3,4,11,Loyal Customers,3,High Value - Active
12641,115,1,185.9,2,1,1,4,Lost Customers,0,Low Value - Inactive
12642,25,3,1013.26,4,3,4,11,Loyal Customers,3,High Value - Active
12643,128,6,3344.64,2,5,5,12,Loyal Customers,0,Low Value - Inactive
12644,130,1,477.91,2,1,2,5,At Risk,0,Low Value - Inactive
12645,34,4,1775.18,3,4,4,11,Loyal Customers,3,High Value - Active
12646,5,2,1346.97,5,2,4,11,Loyal Customers,3,High Value - Active
12647,22,12,3722.82,4,5,5,14,Champions,3,High Value - Active
12648,155,1,318.05,2,1,2,5,At Risk,0,Low Value - Inactive
12649,107,3,623.51,2,3,3,8,Potential Loyalists,0,Low Value - Inactive
12650,3,1,314.44,5,1,2,8,Potential Loyalists,3,High Value - Active
12651,335,1,114.0,1,1,1,3,Lost Customers,2,Low Value - Inactive
12652,331,1,919.98,1,1,3,5,At Risk,2,Low Value - Inactive
12653,149,2,2209.85,2,2,5,9,Potential Loyalists,0,Low Value - Inactive
12654,11,5,601.98,5,4,3,12,Loyal Customers,3,High Value - Active
12656,17,5,4051.17,4,4,5,13,Champions,3,High Value - Active
12657,11,4,1643.18,5,4,4,13,Champions,3,High Value - Active
12658,19,1,686.05,4,1,3,8,Potential Loyalists,3,High Value - Active
12659,30,1,91.68,4,1,1,6,At Risk,3,High Value - Active
12660,11,1,245.1,5,1,1,7,Potential Loyalists,3,High Value - Active
12662,1,11,3849.78,5,5,5,15,Champions,3,High Value - Active
12664,8,9,4881.88,5,5,5,15,Champions,3,High Value - Active
12665,325,1,63.0,1,1,1,3,Lost Customers,2,Low Value - Inactive
12667,58,1,620.13,3,1,3,7,Potential Loyalists,3,High Value - Active
12668,12,4,3807.15,5,4,5,14,Champions,3,High Value - Active
12669,151,3,2744.0299999999997,2,3,5,10,Loyal Customers,0,Low Value - Inactive
12670,10,5,2996.05,5,4,5,14,Champions,3,High Value - Active
12672,330,1,225.89999999999998,1,1,1,3,Lost Customers,2,Low Value - Inactive
12673,5,2,610.52,5,2,3,10,Loyal Customers,3,High Value - Active
12674,39,4,1970.6,3,4,4,11,Loyal Customers,3,High Value - Active
12676,25,6,1331.39,4,5,4,13,Champions,3,High Value - Active
12678,42,12,17628.46,3,5,5,13,Champions,3,High Value - Active
12679,59,4,1113.02,3,4,4,11,Loyal Customers,3,High Value - Active
12680,1,4,862.81,5,4,3,12,Loyal Customers,3,High Value - Active
12681,15,22,13787.54,4,5,5,14,Champions,3,High Value - Active
12682,4,31,12288.22,5,5,5,15,Champions,3,High Value - Active
12683,4,15,8476.57,5,5,5,15,Champions,3,High Value - Active
12684,8,7,2283.63,5,5,5,15,Champions,3,High Value - Active
12685,28,6,2863.08,4,5,5,14,Champions,3,High Value - Active
12686,372,1,89.14,1,1,1,3,Lost Customers,2,Low Value - Inactive
12688,114,1,4873.8099999999995,2,1,5,8,Potential Loyalists,0,Low Value - Inactive
12689,26,2,1247.61,4,2,4,10,Loyal Customers,3,High Value - Active
12690,206,1,389.01,1,1,2,4,Lost Customers,0,Low Value - Inactive
12691,28,6,1035.8,4,5,4,13,Champions,3,High Value - Active
12693,127,4,855.91,2,4,3,9,Potential Loyalists,0,Low Value - Inactive
12694,70,2,869.67,3,2,3,8,Potential Loyalists,3,High Value - Active
12695,7,4,582.1,5,4,3,12,Loyal Customers,3,High Value - Active
12697,29,3,957.59,4,3,4,11,Loyal Customers,3,High Value - Active
12700,8,4,4939.99,5,4,5,14,Champions,3,High Value - Active
12701,80,2,797.71,2,2,3,7,Potential Loyalists,3,High Value - Active
12702,20,1,219.0,4,1,1,6,At Risk,3,High Value - Active
12703,71,1,283.55,3,1,2,6,At Risk,3,High Value - Active
12704,7,8,2340.84,5,5,5,15,Champions,3,High Value - Active
12705,15,9,6868.29,4,5,5,14,Champions,3,High Value - Active
12707,292,1,603.42,1,1,3,5,At Risk,2,Low Value - Inactive
12708,30,10,2712.91,4,5,5,14,Champions,3,High Value - Active
12709,15,15,9736.52,4,5,5,14,Champions,3,High Value - Active
12710,97,3,1149.02,2,3,4,9,Potential Loyalists,0,Low Value - Inactive
12712,29,13,4396.13,4,5,5,14,Champions,3,High Value - Active
12713,1,1,848.55,5,1,3,9,Potential Loyalists,3,High Value - Active
12714,9,5,4708.86,5,4,5,14,Champions,3,High Value - Active
12715,106,1,353.86,2,1,2,5,At Risk,0,Low Value - Inactive
12716,4,2,1053.49,5,2,4,11,Loyal Customers,3,High Value - Active
12717,151,2,1030.98,2,2,4,8,Potential Loyalists,0,Low Value - Inactive
12718,71,1,238.25,3,1,1,5,At Risk,3,High Value - Active
12719,5,2,644.95,5,2,3,10,Loyal Customers,3,High Value - Active
12720,3,25,5781.73,5,5,5,15,Champions,3,High Value - Active
12721,32,6,2656.13,4,5,5,14,Champions,3,High Value - Active
12722,85,4,997.63,2,4,4,10,Loyal Customers,3,High Value - Active
12723,4,5,725.07,5,4,3,12,Loyal Customers,3,High Value - Active
12724,5,4,1031.41,5,4,4,13,Champions,3,High Value - Active
12725,371,1,427.8,1,1,2,4,Lost Customers,2,Low Value - Inactive
12726,28,7,2609.1,4,5,5,14,Champions,3,High Value - Active
12727,11,7,3980.7,5,5,5,15,Champions,3,High Value - Active
12728,71,4,836.33,3,4,3,10,Loyal Customers,3,High Value - Active
12729,114,1,453.01,2,1,2,5,At Risk,0,Low Value - Inactive
12731,24,12,18895.91,4,5,5,14,Champions,3,High Value - Active
12732,180,1,236.26000000000002,1,1,1,3,Lost Customers,0,Low Value - Inactive
12733,234,1,383.95,1,1,2,4,Lost Customers,2,Low Value - Inactive
12734,353,1,110.39999999999999,1,1,1,3,Lost Customers,2,Low Value - Inactive
12735,315,2,779.5699999999999,1,2,3,6,At Risk,2,Low Value - Inactive
12736,333,1,234.0,1,1,1,3,Lost Customers,2,Low Value - Inactive
12738,372,1,155.35,1,1,1,3,Lost Customers,2,Low Value - Inactive
12739,78,2,1013.04,2,2,4,8,Potential Loyalists,3,High Value - Active
12740,64,1,427.6,3,1,2,6,At Risk,3,High Value - Active
12743,134,2,546.43,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12744,52,7,21279.29,3,5,5,13,Champions,3,High Value - Active
12747,2,11,4196.01,5,5,5,15,Champions,3,High Value - Active
12748,1,209,33719.73,5,5,5,15,Champions,3,High Value - Active
12749,4,5,4090.88,5,4,5,14,Champions,3,High Value - Active
12750,129,1,275.88,2,1,2,5,At Risk,0,Low Value - Inactive
12752,81,1,4366.78,2,1,5,8,Potential Loyalists,3,High Value - Active
12753,23,6,21429.39,4,5,5,14,Champions,3,High Value - Active
12754,236,3,3010.74,1,3,5,9,Potential Loyalists,2,Low Value - Inactive
12755,281,2,3811.95,1,2,5,8,Potential Loyalists,2,Low Value - Inactive
12756,87,1,112.07999999999998,2,1,1,4,Lost Customers,3,High Value - Active
12757,16,13,7857.1,4,5,5,14,Champions,3,High Value - Active
12758,117,2,2791.59,2,2,5,9,Potential Loyalists,0,Low Value - Inactive
12759,52,3,1531.44,3,3,4,10,Loyal Customers,3,High Value - Active
12762,8,2,1898.52,5,2,4,11,Loyal Customers,3,High Value - Active
12763,138,2,494.08,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12764,317,1,1693.88,1,1,4,6,At Risk,2,Low Value - Inactive
12766,4,7,6989.63,5,5,5,15,Champions,3,High Value - Active
12769,239,1,1143.6,1,1,4,6,At Risk,2,Low Value - Inactive
12770,211,1,1351.45,1,1,4,6,At Risk,0,Low Value - Inactive
12772,60,1,892.47,3,1,3,7,Potential Loyalists,3,High Value - Active
12775,17,5,1386.04,4,4,4,12,Loyal Customers,3,High Value - Active
12778,20,6,822.23,4,5,3,12,Loyal Customers,3,High Value - Active
12779,38,8,3981.36,3,5,5,13,Champions,3,High Value - Active
12781,64,2,826.74,3,2,3,8,Potential Loyalists,3,High Value - Active
12782,5,5,2330.92,5,4,5,14,Champions,3,High Value - Active
12783,2,6,2225.91,5,5,5,15,Champions,3,High Value - Active
12784,9,2,574.42,5,2,3,10,Loyal Customers,3,High Value - Active
12785,364,1,311.95,1,1,2,4,Lost Customers,2,Low Value - Inactive
12787,10,3,463.66,5,3,2,10,Loyal Customers,3,High Value - Active
12789,65,1,91.85,3,1,1,5,At Risk,3,High Value - Active
12790,192,1,324.92,1,1,2,4,Lost Customers,0,Low Value - Inactive
12791,374,1,192.60000000000002,1,1,1,3,Lost Customers,2,Low Value - Inactive
12792,257,1,400.53999999999996,1,1,2,4,Lost Customers,2,Low Value - Inactive
12793,335,2,545.48,1,2,3,6,At Risk,2,Low Value - Inactive
12794,53,2,860.41,3,2,3,8,Potential Loyalists,3,High Value - Active
12795,19,1,430.48,4,1,2,7,Potential Loyalists,3,High Value - Active
12797,366,1,254.03,1,1,2,4,Lost Customers,2,Low Value - Inactive
12798,10,3,6977.04,5,3,5,13,Champions,3,High Value - Active
12802,187,1,427.58,1,1,2,4,Lost Customers,0,Low Value - Inactive
12808,37,3,483.65000000000003,3,3,2,8,Potential Loyalists,3,High Value - Active
12809,178,1,489.31,2,1,2,5,At Risk,0,Low Value - Inactive
12811,261,3,514.85,1,3,3,7,Potential Loyalists,2,Low Value - Inactive
12812,45,1,229.64000000000001,3,1,1,5,At Risk,3,High Value - Active
12814,102,1,125.92,2,1,1,4,Lost Customers,0,Low Value - Inactive
12815,148,2,1063.46,2,2,4,8,Potential Loyalists,0,Low Value - Inactive
12816,96,2,572.2,2,2,3,7,Potential Loyalists,0,Low Value - Inactive
12817,281,1,166.04,1,1,1,3,Lost Customers,2,Low Value - Inactive
12818,262,1,1542.08,1,1,4,6,At Risk,2,Low Value - Inactive
12820,3,4,942.34,5,4,4,13,Champions,3,High Value - Active
12821,214,1,92.72,1,1,1,3,Lost Customers,0,Low Value - Inactive
12822,71,2,948.88,3,2,4,9,Potential Loyalists,3,High Value - Active
12823,75,5,1759.5,2,4,4,10,Loyal Customers,3,High Value - Active
12824,60,1,397.12,3,1,2,6,At Risk,3,High Value - Active
12826,3,7,1474.72,5,5,4,14,Champions,3,High Value - Active
12827,6,3,430.15000000000003,5,3,2,10,Loyal Customers,3,High Value - Active
